d1,d2,crude_OR,CMH_OR,p,n_strata,min_stratum,q
llamaguard,ppl_filter,inf,inf,,6,6,
llamaguard,probe,inf,inf,0.038947455742025294,6,6,0.19473727871012647
llamaguard,probe_b,inf,inf,0.038947455742025294,6,5,0.19473727871012647
llamaguard,refusal_prime,inf,inf,0.28931483238198785,6,6,0.5786296647639757
llamaguard,smoothllm,inf,inf,0.38961873194937513,6,5,0.7045651349217552
llamaguard,token_anomaly,inf,inf,0.9056954420343093,6,6,0.9399701760915006
ppl_filter,probe,17.4,2.829050279329609,0.2467532930040992,5,6,0.5786296647639757
ppl_filter,probe_b,21.0,3.0673076923076925,0.21105923792130787,5,10,0.5786296647639757
ppl_filter,refusal_prime,15.725274725274724,3.9472595260445593,0.06277464354489026,5,10,0.25109857417956105
ppl_filter,smoothllm,16.71764705882353,3.3703703703703707,0.15992765036881362,5,10,0.5330921678960454
ppl_filter,token_anomaly,6.642857142857143,1.3767619047619049,0.9219214008673786,5,8,0.9399701760915006
probe,probe_b,87.0,151.36810344827586,4.12574597485893e-07,5,10,8.25149194971786e-06
probe,refusal_prime,7.666666666666667,0.7159537965583885,0.9399701760915006,5,7,0.9399701760915006
probe,smoothllm,10.4,1.2501287995878414,0.9345414938841017,5,8,0.9399701760915006
probe,token_anomaly,5.864864864864865,1.0371018993283743,0.7593482589886853,5,8,0.9399701760915006
probe_b,refusal_prime,7.508875739644971,0.8726937269372694,0.8737739748911805,5,9,0.9399701760915006
probe_b,smoothllm,8.25,0.9117316642593484,0.8391408082306109,5,7,0.9399701760915006
probe_b,token_anomaly,7.0,2.5635681533972488,0.27558276121002356,5,8,0.5786296647639757
refusal_prime,smoothllm,13.142857142857142,4.27307447485678,0.024817626146390603,5,10,0.19473727871012647
refusal_prime,token_anomaly,4.125,1.3171976475874931,0.8196464272632202,5,6,0.9399701760915006
smoothllm,token_anomaly,4.75,1.7418960154487961,0.4227390809530531,5,5,0.7045651349217552
