d1,d2,p1,p2,Q,dis,DF,phi,phi_lo,phi_hi,DF_indep,degenerate
llamaguard,ppl_filter,0.01,0.66,1.0,0.65,0.01,0.07213564069235184,0.05957351382119049,0.14325637179442158,0.006600000000000001,False
llamaguard,probe,0.01,0.68,1.0,0.67,0.01,0.06894502533266966,0.05647824947249036,0.13477376086454987,0.0068000000000000005,False
llamaguard,probe_b,0.01,0.6,1.0,0.59,0.01,0.08206099398622188,0.0689450253326694,0.16321563730934285,0.006,False
llamaguard,refusal_prime,0.01,0.6,1.0,0.59,0.01,0.08206099398622188,0.06894502533266929,0.1632156373093431,0.006,False
llamaguard,smoothllm,0.01,0.54,1.0,0.53,0.01,0.09276078999296923,0.07868253729267113,0.18136004854148605,0.0054,False
llamaguard,token_anomaly,0.01,0.35,1.0,0.34,0.01,0.13696356726888562,0.11571391905959119,0.2686353447586679,0.0034999999999999996,False
ppl_filter,probe,0.66,0.68,0.8913043478260869,0.18,0.58,0.5937354270767825,0.42134161004740955,0.7571636716852839,0.44880000000000003,False
ppl_filter,probe_b,0.66,0.6,0.9090909090909091,0.18,0.54,0.6205052279940223,0.45525671497657777,0.7700430084640062,0.396,False
ppl_filter,refusal_prime,0.66,0.6,0.8804204993429697,0.2,0.53,0.577414587161104,0.4063846848428901,0.7342139427631332,0.396,False
ppl_filter,smoothllm,0.66,0.54,0.8871181938911022,0.22,0.49,0.5658733433890039,0.40281198541109586,0.7191353021020118,0.35640000000000005,False
ppl_filter,token_anomaly,0.66,0.35,0.7383177570093458,0.39,0.31,0.34964310192092607,0.1822255783941026,0.4985613191084466,0.23099999999999998,False
probe,probe_b,0.68,0.6,0.9772727272727273,0.12,0.58,0.752650545165056,0.6185546182948607,0.8717265755922498,0.40800000000000003,False
probe,refusal_prime,0.68,0.6,0.7692307692307693,0.26,0.51,0.44633927678392854,0.2627202431575905,0.6214952441658099,0.40800000000000003,False
probe,smoothllm,0.68,0.54,0.8245614035087719,0.26,0.48,0.485181081671509,0.31180478223116226,0.646807088166334,0.3672,False
probe,token_anomaly,0.68,0.35,0.7086614173228346,0.41,0.31,0.323602859383479,0.15958626340564372,0.47395591949430527,0.238,False
probe_b,refusal_prime,0.6,0.6,0.7649513212795549,0.26,0.47,0.4583333333333332,0.27351435834681354,0.6307247328302812,0.36,False
probe_b,smoothllm,0.6,0.54,0.7837837837837838,0.26,0.44,0.4750907476102237,0.29842010704842015,0.6408020975662168,0.324,False
probe_b,token_anomaly,0.6,0.35,0.75,0.35,0.3,0.385164443259822,0.21526978723941836,0.5426349349966251,0.21,False
refusal_prime,smoothllm,0.6,0.54,0.8585858585858586,0.22,0.46,0.5570029454740554,0.3898124960424033,0.715522468268749,0.324,False
refusal_prime,token_anomaly,0.6,0.35,0.6097560975609756,0.39,0.28,0.2995723447576394,0.11783955494123963,0.46938035369900816,0.21,False
smoothllm,token_anomaly,0.54,0.35,0.6521739130434783,0.35,0.27,0.3407363937332405,0.1594636365890619,0.5141719095100732,0.189,False
