d1,d2,p1,p2,Q,dis,DF,phi,phi_lo,phi_hi,DF_indep,degenerate
ppl_filter,probe,0.68,0.64,0.9626168224299065,0.12,0.6,0.736014761236601,0.5915092926104296,0.8699980308791859,0.43520000000000003,False
ppl_filter,probe_b,0.68,0.67,0.9280205655526992,0.15,0.6,0.6583295909501504,0.4926848166518076,0.8101468332767117,0.45560000000000006,False
ppl_filter,refusal_prime,0.68,0.66,0.918075422626788,0.16,0.59,0.6389896517015374,0.46872417692147383,0.791725935050539,0.44880000000000003,False
ppl_filter,smoothllm,0.68,0.56,0.8465909090909091,0.24,0.5,0.5147856808162165,0.343128468487418,0.6754579712545797,0.3808000000000001,False
ppl_filter,token_anomaly,0.68,0.34,0.7801980198019802,0.4,0.31,0.3566032900430673,0.20151593677884877,0.49688734606139845,0.23120000000000004,False
probe,probe_b,0.64,0.67,0.9683257918552036,0.11,0.6,0.7585219479387537,0.616823520284859,0.8843894080273346,0.4288,False
probe,refusal_prime,0.64,0.66,0.8958333333333334,0.18,0.56,0.6051538076530735,0.4337416912065331,0.7639718037900673,0.42240000000000005,False
probe,smoothllm,0.64,0.56,0.8260869565217391,0.24,0.48,0.5103545438827406,0.334409302562156,0.674955367293791,0.35840000000000005,False
probe,token_anomaly,0.64,0.34,0.8235294117647058,0.36,0.31,0.40636781851122017,0.2500695599926651,0.5485142551829094,0.21760000000000002,False
probe_b,refusal_prime,0.67,0.66,0.8765432098765432,0.19,0.57,0.5737531147794966,0.3993932594955033,0.7368530401423911,0.44220000000000004,False
probe_b,smoothllm,0.67,0.56,0.82,0.25,0.49,0.49184375902747174,0.31638892825456855,0.6575554946555136,0.37520000000000003,False
probe_b,token_anomaly,0.67,0.34,0.791907514450867,0.39,0.31,0.36903369354362114,0.21290461408854341,0.5103059884839419,0.22780000000000003,False
refusal_prime,smoothllm,0.66,0.56,0.9536266349583828,0.16,0.53,0.6821385377604836,0.535778814245423,0.8134739468460759,0.36960000000000004,False
refusal_prime,token_anomaly,0.66,0.34,0.7241379310344828,0.4,0.3,0.3368983957219251,0.17062703791770376,0.48733740139815124,0.22440000000000002,False
smoothllm,token_anomaly,0.56,0.34,0.7272727272727273,0.34,0.28,0.38104496872406063,0.20789236858367388,0.5435485186865141,0.19040000000000004,False
