d1,d2,p1,p2,Q,dis,DF,phi,phi_lo,phi_hi,DF_indep,degenerate
ppl_filter,probe,0.66,0.68,0.8913043478260869,0.18,0.58,0.5937354270767825,0.4152310339464132,0.7544425411322145,0.44880000000000003,False
ppl_filter,probe_b,0.66,0.6,0.9090909090909091,0.18,0.54,0.6205052279940223,0.45920525954445046,0.7719503868461774,0.396,False
ppl_filter,refusal_prime,0.66,0.6,0.8804204993429697,0.2,0.53,0.577414587161104,0.4040724395561585,0.7362637362637373,0.396,False
ppl_filter,smoothllm,0.66,0.54,0.8871181938911022,0.22,0.49,0.5658733433890039,0.4017583983172779,0.7191353021020122,0.35640000000000005,False
ppl_filter,token_anomaly,0.66,0.35,0.7383177570093458,0.39,0.31,0.34964310192092607,0.18856180831641284,0.4985595065630136,0.23099999999999998,False
probe,probe_b,0.68,0.6,0.9772727272727273,0.12,0.58,0.752650545165056,0.6174291797389413,0.8733023707219424,0.40800000000000003,False
probe,refusal_prime,0.68,0.6,0.7692307692307693,0.26,0.51,0.44633927678392854,0.26060327686747947,0.6223983769835518,0.40800000000000003,False
probe,smoothllm,0.68,0.54,0.8245614035087719,0.26,0.48,0.485181081671509,0.31405440875762547,0.6443458353840565,0.3672,False
probe,token_anomaly,0.68,0.35,0.7086614173228346,0.41,0.31,0.323602859383479,0.1561813538027868,0.4739559194943054,0.238,False
probe_b,refusal_prime,0.6,0.6,0.7649513212795549,0.26,0.47,0.4583333333333332,0.2738871829253628,0.6313154929830463,0.36,False
probe_b,smoothllm,0.6,0.54,0.7837837837837838,0.26,0.44,0.4750907476102237,0.29553243801469237,0.6426282051282045,0.324,False
probe_b,token_anomaly,0.6,0.35,0.75,0.35,0.3,0.385164443259822,0.2152776894990207,0.5417997066118438,0.21,False
refusal_prime,smoothllm,0.6,0.54,0.8585858585858586,0.22,0.46,0.5570029454740554,0.3862394938215622,0.7133624228083345,0.324,False
refusal_prime,token_anomaly,0.6,0.35,0.6097560975609756,0.39,0.28,0.2995723447576394,0.1225118855522303,0.4693803536990084,0.21,False
smoothllm,token_anomaly,0.54,0.35,0.6521739130434783,0.35,0.27,0.3407363937332405,0.15882460034775187,0.5125577300654557,0.189,False
