d1,d2,crude_OR_haldane,crude_OR,CMH_OR,p,q,n_strata,min_stratum
llamaguard,ppl_filter,1.5802,inf,inf,,,6,6
llamaguard,probe,1.4444,inf,inf,0.0389,0.1947,6,6
llamaguard,probe_b,2.042,inf,inf,0.0389,0.1947,6,5
llamaguard,refusal_prime,2.042,inf,inf,0.2893,0.5786,6,6
llamaguard,smoothllm,2.6075,inf,inf,0.3896,0.7046,6,5
llamaguard,token_anomaly,5.6957,inf,inf,0.9057,0.94,6,6
ppl_filter,probe,16.0588,17.4,2.8291,0.2468,0.5786,5,6
ppl_filter,probe_b,19.1169,21.0,3.0673,0.2111,0.5786,5,10
ppl_filter,refusal_prime,14.5309,15.7253,3.9473,0.0628,0.2511,5,10
ppl_filter,smoothllm,15.1714,16.7176,3.3704,0.1599,0.5331,5,10
ppl_filter,token_anomaly,6.0141,6.6429,1.3768,0.9219,0.94,5,8
probe,probe_b,67.9714,87.0,151.3681,0.0,0.0,5,10
probe,refusal_prime,7.2797,7.6667,0.716,0.94,0.94,5,7
probe,smoothllm,9.6454,10.4,1.2501,0.9345,0.94,5,8
probe,token_anomaly,5.32,5.8649,1.0371,0.7593,0.94,5,8
probe_b,refusal_prime,7.1674,7.5089,0.8727,0.8738,0.94,5,9
probe_b,smoothllm,7.8341,8.25,0.9117,0.8391,0.94,5,7
probe_b,token_anomaly,6.4545,7.0,2.5636,0.2756,0.5786,5,8
refusal_prime,smoothllm,12.2617,13.1429,4.2731,0.0248,0.1947,5,10
refusal_prime,token_anomaly,3.9169,4.125,1.3172,0.8196,0.94,5,6
smoothllm,token_anomaly,4.5294,4.75,1.7419,0.4227,0.7046,5,5
