d1,d2,p1,p2,Q,Q_lo,Q_hi,dis,dis_lo,dis_hi,DF,DF_lo,DF_hi,phi,phi_lo,phi_hi,degenerate,DF_indep
llamaguard,ppl_filter,0.01,0.66,1.0,1.0,1.0,0.65,0.56,0.74,0.01,0.0,0.03,0.0721,0.0596,0.1436,False,0.0066
llamaguard,probe,0.01,0.68,1.0,1.0,1.0,0.67,0.58,0.76,0.01,0.0,0.03,0.0689,0.0565,0.1377,False,0.0068
llamaguard,probe_b,0.01,0.6,1.0,1.0,1.0,0.59,0.49,0.68,0.01,0.0,0.03,0.0821,0.0689,0.1623,False,0.006
llamaguard,refusal_prime,0.01,0.6,1.0,1.0,1.0,0.59,0.49,0.68,0.01,0.0,0.03,0.0821,0.0689,0.1623,False,0.006
llamaguard,smoothllm,0.01,0.54,1.0,1.0,1.0,0.53,0.43,0.63,0.01,0.0,0.03,0.0928,0.0787,0.183,False,0.0054
llamaguard,token_anomaly,0.01,0.35,1.0,1.0,1.0,0.34,0.25,0.43,0.01,0.0,0.03,0.137,0.1157,0.269,False,0.0035
ppl_filter,probe,0.66,0.68,0.8913,0.7443,0.9704,0.18,0.11,0.26,0.58,0.48,0.68,0.5937,0.4142,0.7554,False,0.4488
ppl_filter,probe_b,0.66,0.6,0.9091,0.7816,0.9788,0.18,0.11,0.26,0.54,0.44,0.64,0.6205,0.4579,0.7695,False,0.396
ppl_filter,refusal_prime,0.66,0.6,0.8804,0.7273,0.9678,0.2,0.12,0.28,0.53,0.43,0.63,0.5774,0.4067,0.7357,False,0.396
ppl_filter,smoothllm,0.66,0.54,0.8871,0.731,0.977,0.22,0.14,0.3,0.49,0.39,0.58,0.5659,0.3997,0.7208,False,0.3564
ppl_filter,token_anomaly,0.66,0.35,0.7383,0.4292,0.9506,0.39,0.3,0.49,0.31,0.22,0.4,0.3496,0.1864,0.4998,False,0.231
probe,probe_b,0.68,0.6,0.9773,0.9254,1.0,0.12,0.06,0.19,0.58,0.48,0.67,0.7527,0.6185,0.8733,False,0.408
probe,refusal_prime,0.68,0.6,0.7692,0.5098,0.9187,0.26,0.18,0.35,0.51,0.41,0.61,0.4463,0.2606,0.6184,False,0.408
probe,smoothllm,0.68,0.54,0.8246,0.614,0.9559,0.26,0.18,0.35,0.48,0.38,0.58,0.4852,0.3151,0.6478,False,0.3672
probe,token_anomaly,0.68,0.35,0.7087,0.3757,0.9406,0.41,0.32,0.51,0.31,0.22,0.4,0.3236,0.1555,0.4749,False,0.238
probe_b,refusal_prime,0.6,0.6,0.765,0.5258,0.9111,0.26,0.18,0.35,0.47,0.37,0.57,0.4583,0.2788,0.6312,False,0.36
probe_b,smoothllm,0.6,0.54,0.7838,0.5606,0.9213,0.26,0.18,0.35,0.44,0.34,0.54,0.4751,0.2957,0.6455,False,0.324
probe_b,token_anomaly,0.6,0.35,0.75,0.4622,0.9409,0.35,0.26,0.44,0.3,0.21,0.39,0.3852,0.2131,0.5389,False,0.21
refusal_prime,smoothllm,0.6,0.54,0.8586,0.6942,0.9564,0.22,0.14,0.3,0.46,0.36,0.56,0.557,0.3844,0.7151,False,0.324
refusal_prime,token_anomaly,0.6,0.35,0.6098,0.2584,0.8656,0.39,0.3,0.49,0.28,0.19,0.37,0.2996,0.1169,0.468,False,0.21
smoothllm,token_anomaly,0.54,0.35,0.6522,0.3322,0.8706,0.35,0.25,0.45,0.27,0.19,0.36,0.3407,0.1583,0.5131,False,0.189
