d1,d2,f1,f2,phi,phi_lo,phi_hi
llamaguard,ppl_filter,0.26,0.08,0.4975,0.3196,0.6521
llamaguard,probe,0.26,0.08,0.4975,0.3273,0.6521
llamaguard,probe_b,0.26,0.09,0.5306,0.359,0.6879
llamaguard,refusal_prime,0.26,0.39,0.3206,0.1225,0.5059
llamaguard,smoothllm,0.26,0.26,0.2723,0.057,0.4763
llamaguard,token_anomaly,0.26,0.09,0.4509,0.2327,0.6277
ppl_filter,probe,0.08,0.08,1.0,1.0,1.0
ppl_filter,probe_b,0.08,0.09,0.9377,0.778,1.0
ppl_filter,refusal_prime,0.08,0.39,0.3688,0.2303,0.4937
ppl_filter,smoothllm,0.08,0.26,0.4975,0.3157,0.6571
ppl_filter,token_anomaly,0.08,0.09,0.9377,0.778,1.0
probe,probe_b,0.08,0.09,0.9377,0.778,1.0
probe,refusal_prime,0.08,0.39,0.3688,0.2303,0.4938
probe,smoothllm,0.08,0.26,0.4975,0.3192,0.6511
probe,token_anomaly,0.08,0.09,0.9377,0.7666,1.0
probe_b,refusal_prime,0.09,0.39,0.3217,0.1358,0.4687
probe_b,smoothllm,0.09,0.26,0.4509,0.2431,0.6256
probe_b,token_anomaly,0.09,0.09,0.8779,0.6564,1.0
refusal_prime,smoothllm,0.39,0.26,0.5544,0.378,0.7116
refusal_prime,token_anomaly,0.39,0.09,0.3217,0.137,0.4687
smoothllm,token_anomaly,0.26,0.09,0.4509,0.2376,0.6276
