pair,n01,n10,p_exact,p_holm
llama-guard x probe16,0,67,1.355e-20,2.846e-19
perplexity x llama-guard,65,0,5.421e-20,1.084e-18
llama-guard x refusal-prime,0,59,3.469e-18,6.592e-17
llama-guard x probe8,0,59,3.469e-18,6.592e-17
llama-guard x smoothllm,0,53,2.220e-16,3.775e-15
token-anomaly x llama-guard,34,0,1.164e-10,1.863e-09
token-anomaly x probe16,4,37,1.026e-07,1.539e-06
perplexity x token-anomaly,35,4,3.353e-07,4.694e-06
token-anomaly x probe8,5,30,2.236e-05,2.907e-04
token-anomaly x refusal-prime,7,32,7.025e-05,8.431e-04
token-anomaly x smoothllm,8,27,0.0019,0.0207
smoothllm x probe16,6,20,0.0094,0.0936
perplexity x smoothllm,17,5,0.0169,0.1521
probe16 x probe8,10,2,0.0386,0.3086
refusal-prime x probe16,9,17,0.1686,1.0000
perplexity x probe8,12,6,0.2379,1.0000
perplexity x refusal-prime,13,7,0.2632,1.0000
refusal-prime x smoothllm,14,8,0.2863,1.0000
smoothllm x probe8,10,16,0.3269,1.0000
perplexity x probe16,8,10,0.8145,1.0000
refusal-prime x probe8,13,13,1.0000,1.0000
