pair,p1,p2,joint,Delta,phi,phi_over_phi_max,phi_lo,phi_hi,q
perplexity x token-anomaly,0.680,0.340,0.310,0.079,0.357,0.724,0.196,0.500,0.0015
perplexity x refusal-prime,0.680,0.660,0.590,0.141,0.639,0.669,0.467,0.794,6.247e-04
perplexity x smoothllm,0.680,0.560,0.500,0.119,0.515,0.665,0.342,0.669,6.247e-04
perplexity x probe16,0.680,0.640,0.600,0.165,0.736,0.805,0.589,0.865,6.247e-04
perplexity x probe8,0.680,0.670,0.600,0.144,0.658,0.674,0.493,0.807,6.247e-04
token-anomaly x refusal-prime,0.340,0.660,0.300,0.076,0.337,0.654,0.170,0.488,0.0015
token-anomaly x smoothllm,0.340,0.560,0.280,0.090,0.381,0.599,0.204,0.544,6.247e-04
token-anomaly x probe16,0.340,0.640,0.310,0.092,0.406,0.755,0.255,0.544,0.0012
token-anomaly x probe8,0.340,0.670,0.310,0.082,0.369,0.733,0.214,0.511,6.247e-04
refusal-prime x smoothllm,0.660,0.560,0.530,0.160,0.682,0.842,0.538,0.815,6.247e-04
refusal-prime x probe16,0.660,0.640,0.560,0.138,0.605,0.632,0.432,0.760,6.247e-04
refusal-prime x probe8,0.660,0.670,0.570,0.128,0.574,0.587,0.395,0.737,6.247e-04
smoothllm x probe16,0.560,0.640,0.480,0.122,0.510,0.603,0.336,0.677,6.247e-04
smoothllm x probe8,0.560,0.670,0.490,0.115,0.492,0.621,0.318,0.654,6.247e-04
probe16 x probe8,0.640,0.670,0.600,0.171,0.759,0.811,0.618,0.879,6.247e-04
