pair,p1,p2,joint,Delta,phi,phi_lo,phi_hi,q
perplexity x token-anomaly,0.670,0.640,0.600,0.171,0.759,0.617,0.884,4.998e-04
perplexity x refusal-prime,0.670,0.650,0.570,0.134,0.600,0.423,0.759,4.998e-04
perplexity x smoothllm,0.670,0.590,0.510,0.115,0.496,0.319,0.664,4.998e-04
perplexity x probe16,0.670,0.700,0.610,0.141,0.654,0.484,0.806,4.998e-04
perplexity x probe8,0.670,0.660,0.630,0.188,0.843,0.721,0.949,4.998e-04
token-anomaly x refusal-prime,0.640,0.650,0.560,0.144,0.629,0.460,0.777,4.998e-04
token-anomaly x smoothllm,0.640,0.590,0.520,0.142,0.603,0.432,0.758,4.998e-04
token-anomaly x probe16,0.640,0.700,0.600,0.152,0.691,0.536,0.832,4.998e-04
token-anomaly x probe8,0.640,0.660,0.580,0.158,0.693,0.539,0.835,4.998e-04
refusal-prime x smoothllm,0.650,0.590,0.490,0.106,0.454,0.271,0.629,4.998e-04
refusal-prime x probe16,0.650,0.700,0.600,0.145,0.663,0.499,0.807,4.998e-04
refusal-prime x probe8,0.650,0.660,0.560,0.131,0.580,0.406,0.743,4.998e-04
smoothllm x probe16,0.590,0.700,0.530,0.117,0.519,0.341,0.685,4.998e-04
smoothllm x probe8,0.590,0.660,0.500,0.111,0.475,0.293,0.644,4.998e-04
probe16 x probe8,0.700,0.660,0.590,0.128,0.590,0.413,0.751,4.998e-04
