d1,d2,same_row,n,p1,p2,joint,indep,excess,phi,phi_lo,phi_hi,excess_lo,excess_hi,phi_p,bh_q
ppl_filter,token_anomaly,1,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,probe,0,100,0.0000,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
probe,refusal_prime,0,100,0.4200,0.1000,0.0800,0.0420,0.0380,0.2566,0.0625,0.4181,0.0080,0.0700,0.012,0.18
probe,smoothllm,0,100,0.4200,0.0100,0.0000,0.0042,-0.0042,-0.0855,-0.1591,0.0000,-0.0141,0.0000,0.7578,1
refusal_prime,smoothllm,0,100,0.1000,0.0100,0.0000,0.0010,-0.0010,-0.0335,-0.0649,0.0000,-0.0036,0.0000,0.7578,1
llamaguard,ppl_filter,0,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,probe,0,100,0.0000,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,refusal_prime,0,100,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,smoothllm,0,100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,token_anomaly,0,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,refusal_prime,0,100,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,smoothllm,0,100,0.0000,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
probe,token_anomaly,0,100,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
refusal_prime,token_anomaly,0,100,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
smoothllm,token_anomaly,0,100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
