d1,d2,same_row,n,p1,p2,joint,indep,excess,phi,phi_lo,phi_hi,excess_lo,excess_hi,phi_p,bh_q
probe,probe_b,1,100,0.3500,0.3800,0.2900,0.1330,0.1570,0.6781,0.5233,0.8247,0.1145,0.1932,0,0
probe,token_anomaly,0,100,0.3500,0.4200,0.2600,0.1470,0.1130,0.4800,0.2999,0.6486,0.0681,0.1536,0,0
ppl_filter,probe,0,100,0.0000,0.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,token_anomaly,1,100,0.0000,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
probe_b,token_anomaly,0,100,0.3800,0.4200,0.2800,0.1596,0.1204,0.5026,0.3232,0.6700,0.0765,0.1605,0,0
refusal_prime,smoothllm,0,100,0.1400,0.0200,0.0200,0.0028,0.0172,0.3541,0.0000,0.5686,0.0000,0.0425,0.2624,0.6123
probe_b,refusal_prime,0,100,0.3800,0.1400,0.1000,0.0532,0.0468,0.2779,0.0738,0.4611,0.0108,0.0839,0.0098,0.05145
probe,refusal_prime,0,100,0.3500,0.1400,0.0900,0.0490,0.0410,0.2477,0.0350,0.4424,0.0056,0.0780,0.0218,0.0763
refusal_prime,token_anomaly,0,100,0.1400,0.4200,0.1000,0.0588,0.0412,0.2406,0.0417,0.4212,0.0058,0.0775,0.0172,0.07224
probe_b,smoothllm,0,100,0.3800,0.0200,0.0200,0.0076,0.0124,0.1825,0.0000,0.2994,0.0000,0.0310,0.2624,0.6123
smoothllm,token_anomaly,0,100,0.0200,0.4200,0.0200,0.0084,0.0116,0.1679,0.0000,0.2752,0.0000,0.0295,0.2624,0.6123
probe,smoothllm,0,100,0.3500,0.0200,0.0100,0.0070,0.0030,0.0449,-0.1206,0.2246,-0.0090,0.0192,0.8704,1
llamaguard,ppl_filter,0,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,probe,0,100,0.0000,0.3500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,probe_b,0,100,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,refusal_prime,0,100,0.0000,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,smoothllm,0,100,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,token_anomaly,0,100,0.0000,0.4200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,probe_b,0,100,0.0000,0.3800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,refusal_prime,0,100,0.0000,0.1400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,smoothllm,0,100,0.0000,0.0200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
