d1,d2,same_row,n,p1,p2,joint,indep,excess,phi,phi_lo,phi_hi,excess_lo,excess_hi,phi_p,bh_q
ppl_filter,token_anomaly,1,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,probe,0,100,0.0000,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,smoothllm,0,100,0.0100,0.0500,0.0100,0.0005,0.0095,0.4381,0.0000,0.8123,0.0000,0.0285,0.7322,1
probe,refusal_prime,0,100,0.2600,0.4400,0.1600,0.1144,0.0456,0.2094,0.0044,0.4044,0.0022,0.0876,0.0454,0.681
probe,smoothllm,0,100,0.2600,0.0500,0.0300,0.0130,0.0170,0.1778,-0.0781,0.3870,-0.0050,0.0446,0.1706,0.853
refusal_prime,smoothllm,0,100,0.4400,0.0500,0.0400,0.0220,0.0180,0.1664,-0.0412,0.3131,-0.0032,0.0424,0.1126,0.8445
llamaguard,refusal_prime,0,100,0.0100,0.4400,0.0100,0.0044,0.0056,0.1134,0.0000,0.2154,0.0000,0.0183,0.7322,1
llamaguard,probe,0,100,0.0100,0.2600,0.0000,0.0026,-0.0026,-0.0596,-0.1147,0.0000,-0.0090,0.0000,0.7322,1
llamaguard,ppl_filter,0,100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
llamaguard,token_anomaly,0,100,0.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,refusal_prime,0,100,0.0000,0.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
ppl_filter,smoothllm,0,100,0.0000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
probe,token_anomaly,0,100,0.2600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
refusal_prime,token_anomaly,0,100,0.4400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
smoothllm,token_anomaly,0,100,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1
